序号,品种,操作类型,价格,数量,金额,币种,日期,日期精确度,交易平台,备注
1,BTC,买入,76653.0,0.00391,299.71,USD,2025-04-07,精确,币安,币安API精确数据
2,黄金,买入,801.6,2.0,1603.2,CNY,2025-04-21,精确,招行,招行黄金
3,BTC,卖出,92980.0,0.00391,363.55,USD,2025-04-23,精确,币安,币安API精确数据
4,黄金,买入,791.48,2.0,1582.96,CNY,2025-05-06,精确,招行,
5,BTC,卖出,94980.0,0.1,9498.0,USD,2025-05-07,精确,币安,币安API精确日期(原记为5/6)
6,BTC,卖出,101687.0,0.06,6101.22,USD,2025-05-09,精确,币安,币安API精确日期(原记为5/8)
7,黄金,买入,736.19,2.0,1472.38,CNY,2025-05-15,精确,招行,原仅有国际参考价 已由招行记录补充实际成交价
8,ETH,卖出,2680.0,1.0,2680.0,USD,2025-05-18,周期范围,币安,
9,黄金,买入,766.0,4.0,3064.0,CNY,2025-05-25,周期范围,招行,
10,黄金,买入,770.0,2.0,1540.0,CNY,2025-06-09,精确,招行,
11,黄金,买入,781.0,2.0,1562.0,CNY,2025-06-15,周期范围,招行,
12,黄金,买入,780.0,2.0,1560.0,CNY,2025-06-22,周期范围,招行,
13,黄金,买入,769.0,2.0,1538.0,CNY,2025-06-22,周期范围,招行,
14,黄金,买入,762.0,2.0,1524.0,CNY,2025-06-22,周期范围,招行,
15,BTC,卖出,120056.72,0.05,6002.84,USD,2025-07-15,精确,币安,币安API精确日期和价格(原记为07-06~07-13)
16,黄金,买入,769.95,2.0,1539.9,CNY,2025-07-20,周期范围,招行,
17,黄金,买入,766.81,2.0,1533.62,CNY,2025-07-20,周期范围,招行,
18,黄金,买入,768.52,2.0,1537.04,CNY,2025-07-20,周期范围,招行,
19,白银ETF (SLV),买入,34.21,14.6,499.47,USD,2025-07-20,周期范围,富途,
20,白银ETF (SLV),买入,34.16,14.6,498.74,USD,2025-07-20,周期范围,富途,
21,黄金,买入,825.49,2.0,1650.98,CNY,2025-09-12,周期范围,招行,
22,黄金,买入,903.0,5.0,4515.0,CNY,2025-09-26,周期范围,招行,
23,黄金,卖出,889.12,33.0,29340.96,CNY,2025-10-24,周期范围,招行,
24,白银ETF (SLV),卖出,42.67,29.0,1237.43,USD,2025-10-24,周期范围,富途,
25,ETH,卖出,3768.0,1.4,5275.2,USD,2025-10-24,周期范围,币安,
26,ETH,卖出,3770.0,2.0,7540.0,USD,2025-10-24,周期范围,币安,
27,ETH,卖出,3760.0,0.056,210.56,USD,2025-10-24,周期范围,币安,
28,上证50ETF,买入,3.148,6300.0,19832.4,CNY,2025-10-27,精确,招商证券,招商证券精确数据(原周记记为10-24)
29,BTC,卖出,107520.57,0.05,5376.03,USD,2025-10-30,精确,币安,币安API精确日期和价格(原记为10-24~10-31)
30,BTC,卖出,108030.0,0.05,5401.5,USD,2025-10-30,精确,币安,币安API精确日期(原记为10-24~10-31)
31,白银ETF (SLV),买入,47.54,59.0,2804.86,USD,2025-11-26,周期范围,富途,
32,恒生科技ETF,买入,5.54,2000.0,11090.0,HKD,2025-11-26,周期范围,富途,
33,有色金属ETF,买入,1.807,10000.0,18070.0,CNY,2025-12-19,精确,招商证券,招商证券精确数据(原周记记为11-26)
34,有色ETF (大成),买入,1.975,20300.0,40092.5,CNY,2025-12-24,精确,招商证券,招商证券精确数据(原周记记为11-26)
35,白银ETF (SLV),卖出,65.71,59.0,3876.0,USD,2025-12-29,精确,富途,
36,有色金属ETF,买入,1.907,10000.0,19070.0,CNY,2025-12-29,精确,招商证券,招商证券精确数据(原周记记为11-26)
37,有色金属ETF,买入,2.166,10000.0,21660.0,CNY,2026-01-13,精确,招商证券,招商证券精确数据(原周记记为12-29)
38,白银ETF (SLV),买入,76.51,65.0,5000.0,USD,2026-01-12,精确,富途,数量由金额÷价格推算
39,白银ETF (SLV),买入,82.95,60.0,5000.0,USD,2026-01-14,精确,富途,数量由金额÷价格推算
40,上证50ETF,卖出,3.06,6300.0,19247.8,CNY,2026-01-26,精确,招商证券,数量由金额÷价格推算
41,白银ETF (SLV),买入,98.68,51.0,5000.0,USD,2026-01-27,精确,富途,数量由金额÷价格推算
42,有色金属ETF,买入,2.394,8800.0,21067.2,CNY,2026-01-27,精确,招商证券,招商证券精确数据
43,USO (石油ETF),买入,79.06,25.3,2000.0,USD,2026-01-29,精确,富途,数量由金额÷价格推算
44,白银ETF (SLV),买入,74.41,13.44,1000.0,USD,2026-02-02,精确,富途,数量由金额÷价格推算
45,有色ETF (大成),买入,2.085,5000.0,10425.0,CNY,2026-02-03,精确,招商证券,招商证券精确数据
46,有色金属ETF,买入,2.151,5000.0,10755.0,CNY,2026-02-03,精确,招商证券,招商证券精确数据
47,USO (石油ETF),买入,79.82,25.0,2000.0,USD,2026-02-11,精确,富途,数量由金额÷价格推算
48,有色ETF (大成),卖出,2.148,12600.0,27064.8,CNY,2026-03-02,精确,招商证券,招商证券精确数据
49,BNO (布伦特原油ETF),买入,39.68,50.0,1984.0,USD,2026-03-03,精确,富途,富途交易
50,工业有色ETF (万家),买入,2.077,9600.0,19939.2,CNY,2026-03-03,精确,招商证券,招商证券精确数据
51,BNO (布伦特原油ETF),买入,40.03,24.0,960.72,USD,2026-03-05,精确,富途,富途交易
52,XRP,买入,1.4,142.3,199.85,USD,2026-03-14,精确,币安,币安API精确数据
53,ZBT,卖出,0.0743,194.4,14.44,USD,2026-03-16,精确,币安,币安API精确数据
